order_id,customer_id,order_status,order_purchase_timestamp,order_estimated_delivery_date,shipping_limit_date,order_item_id,product_id,price,freight_value,payment_type,payment_value,review_id,review_score
b81ef226f3fe1789b1e8b2acac839d17,0a8556ac6be836b46b3e89920d59291c,delivered,2018-04-25 22:01:49,2018-05-22,2018-05-02 22:15:09,1,af74cc53dcffc8384b29e7abfa41902b,79.8,19.53,credit_card,99.33,4ce650e117a5b292bf5ea980a61eb61e,1
a9810da82917af2d9aefd1278f1dcfa0,f2c7fc58a9de810828715166c672f10a,delivered,2018-06-26 11:01:38,2018-07-16,2018-07-02 11:18:58,1,a630cc320a8c872f9de830cf121661a3,17.0,7.39,credit_card,24.39,ad2036caca61484fc435d7e673c020f2,5
25e8ea4e93396b6fa0d3dd708e76c1bd,25b14b69de0b6e184ae6fe2755e478f9,delivered,2017-12-12 11:19:55,2018-01-04,2017-12-26 09:52:34,1,2028bf1b01cafb2d2b1901fca4083222,56.99,8.72,credit_card,65.71,bcddfa0f7d2e54cfc74bae4f01b84d92,5
ba78997921bbcdc1373bb41e913ab953,7a5d8efaaa1081f800628c30d2b0728f,delivered,2017-12-06 12:04:06,2018-01-04,2017-12-12 12:13:20,1,548e5bfe28edceab6b51fa707cc9556f,89.9,17.88,credit_card,107.78,c37a0e51e5df82bdb55d38ff0ffb6af3,5
3d7239c394a212faae122962df514ac7,4d7a9b8bba459dce09d1b8fa637a0cba,delivered,2017-06-05 10:45:54,2017-06-26,2017-06-09 10:55:16,1,92e16cf2fab490ab9ae87a305d5f8f7f,39.99,11.85,credit_card,51.84,1e23005084e0ca486cb6be7f343ab1ef,4
1f78449c87a54faf9e96e88ba1491fa9,68c9dafdf193586c290b19c71541357a,delivered,2018-07-22 14:07:35,2018-08-14,2018-07-27 09:18:40,1,ef59f328cef34c7b309bb12e86b6418b,269.0,72.09,credit_card,341.09,59398fe630bce3bce7dd6faf226a3d2f,5
0573b5e23cbd798006520e1d5b4c6714,c4e17eff78176dfe3401f03db0346f85,delivered,2017-07-04 20:32:10,2017-07-26,2017-07-12 03:15:36,1,5299e0a0336b5839e2a0ccb0d3d589d1,36.85,15.1,boleto,51.95,327425bbda502d806f410c544b730a23,4
2480f727e869fdeb397244a21b721b67,94967f1e8a9ea8ec6c7129f098f32155,delivered,2017-12-13 18:51:45,2018-01-11,2017-12-19 18:59:27,2,422879e10f46682990de24d770e7f83d,59.0,12.44,credit_card,141.9,f59729ad8789f2243362694bc19fe062,5
2480f727e869fdeb397244a21b721b67,94967f1e8a9ea8ec6c7129f098f32155,delivered,2017-12-13 18:51:45,2018-01-11,2017-12-19 18:59:27,1,d363e421b1d15376b299089946fed127,54.9,15.56,credit_card,141.9,f59729ad8789f2243362694bc19fe062,5
769214176682788a92801d8907fa1b40,2b01b5fb8141bbb9fcdc853a0e26da83,delivered,2017-06-29 21:26:38,2017-07-25,2017-07-05 21:35:09,1,99a4788cb24856965c36a24e339b6058,89.9,15.38,credit_card,105.28,b438431e04ae1ad0cb7ef798fb609742,5
61059985a6fc0ad64e95d9944caacdad,89bca1b7e71b59a7d206d9d1da65c1f6,delivered,2018-08-13 15:43:16,2018-08-30,2018-08-17 15:55:24,1,eb883e95b710f252cb15d0fb41d8bbe9,105.0,27.04,credit_card,132.04,21304e9980682f778d9eee87747d45b3,5
79da3f5fe31ad1e454f06f95dc032ad5,7eefe1898dff66fa3b252fda68ff2ff2,delivered,2018-06-05 17:00:04,2018-07-12,2018-06-13 17:15:45,1,154358528b8fd5995d0d80abd3f4f08a,85.9,13.04,credit_card,98.94,5d3cbc69fbacbfbbe7a2f65d1c32f1e4,5
5a1f6d22f7dfb061ef29216b9af687a1,4c7ef01bf8ed05e43a5e9e44bb08358e,delivered,2017-09-01 23:13:57,2017-09-20,2017-09-07 23:25:09,1,65650c84064ff1a79e4a05988f4c3e9f,35.0,12.69,credit_card,47.69,a734a2dda562cda4487e0679a0189e0c,4
4214cda550ece8ee66441f459dc33a8c,be4ecdb7c9401fd98ed01456634cfcb2,delivered,2017-03-21 17:39:19,2017-04-25,2017-03-27 17:39:19,1,6afddd846da3dd77e807fb9af5930aae,132.68,37.89,credit_card,170.57,be3ebc66805804cbcf2a8c0fe11d088d,5
adfbf6c2a620196f9a3ec747491c72b7,5b670130533827957619dfe306899fdd,delivered,2018-01-29 19:54:35,2018-03-01,2018-02-02 20:12:11,1,389d119b48cf3043d311335e499d9c6b,49.9,17.6,credit_card,67.5,527b5e4ea0f1755532ddaf63d05beb9b,5
4d680edbaa7d3d9bed69532957368a03,1444f701e835b7d189637c10f5287e76,delivered,2018-08-20 14:34:51,2018-10-01,2018-09-06 09:15:09,3,f0bb82bede57b520480ce892667bb71d,59.99,26.44,credit_card,353.09,fda44869178ded7ac2f6804d40980075,1
4d680edbaa7d3d9bed69532957368a03,1444f701e835b7d189637c10f5287e76,delivered,2018-08-20 14:34:51,2018-10-01,2018-09-06 09:15:09,2,f0bb82bede57b520480ce892667bb71d,59.99,26.44,credit_card,353.09,fda44869178ded7ac2f6804d40980075,1
4d680edbaa7d3d9bed69532957368a03,1444f701e835b7d189637c10f5287e76,delivered,2018-08-20 14:34:51,2018-10-01,2018-08-24 09:15:09,1,0ec96e6d31a1493b0475805c9ae1a0a2,167.0,13.22,credit_card,353.09,fda44869178ded7ac2f6804d40980075,1
8cd68144cdb62dc0d60848cf8616d2a4,c03b40c7971bc52b3d018247891270c5,delivered,2017-08-04 10:08:27,2017-08-28,2017-08-10 02:55:16,6,002af88741ba70c7b5cf4e4a0ad7ef85,39.0,16.11,boleto,330.66,89a1739b53cc6c500a3a5e0d423b2439,5
8cd68144cdb62dc0d60848cf8616d2a4,c03b40c7971bc52b3d018247891270c5,delivered,2017-08-04 10:08:27,2017-08-28,2017-08-10 02:55:16,5,002af88741ba70c7b5cf4e4a0ad7ef85,39.0,16.11,boleto,330.66,89a1739b53cc6c500a3a5e0d423b2439,5
8cd68144cdb62dc0d60848cf8616d2a4,c03b40c7971bc52b3d018247891270c5,delivered,2017-08-04 10:08:27,2017-08-28,2017-08-10 02:55:16,4,002af88741ba70c7b5cf4e4a0ad7ef85,39.0,16.11,boleto,330.66,89a1739b53cc6c500a3a5e0d423b2439,5
